,IMEI_Number,Phone_Number,Called_Numbers,Type,Call_Start_Time,Call_End_Time,Location
0,456431013543810,+91-9457614681,+91-755-564-8571,INCOMING,2020-03-22 01:31:39,2020-03-22 01:43:22,"(28.696474, 78.660419)"
1,456431013543810,+91-9457614681,+91-755-597-3583,INCOMING,2020-03-22 21:10:15,2020-03-22 21:51:32,"(28.829659, 78.715692)"
2,456431013543810,+91-9457614681,+91-855-513-6692,OUTGOING,2020-03-05 05:14:21,2020-03-05 05:58:45,"(28.792365, 78.756622)"
3,250777406762377,+91-9457614681,+91-755-598-9232,INCOMING,2020-01-09 18:48:21,2020-01-09 19:47:48,"(28.696474, 78.660419)"
4,250777406762377,+91-9457614681,+91-855-518-6589,INCOMING,2020-03-04 04:16:59,2020-03-04 04:49:15,"(28.881342, 78.581894)"
5,250777406762377,+91-9457614681,+91-855-562-3450,INCOMING,2020-02-21 10:18:14,2020-02-21 11:16:25,"(28.696474, 78.660419)"
6,456431013543810,+91-9457614681,+91-755-572-0382,INCOMING,2020-03-20 11:35:33,2020-03-20 12:14:00,"(28.892516, 78.725159)"
7,250777406762377,+91-9457614681,+91-755-530-5666,OUTGOING,2020-03-06 13:25:35,2020-03-06 14:22:28,"(28.881342, 78.581894)"
8,456431013543810,+91-9457614681,+91-855-595-1832,OUTGOING,2020-01-19 19:21:03,2020-01-19 19:54:45,"(28.696474, 78.660419)"
9,604775855254246,+91-9457614681,+91-915-550-2853,OUTGOING,2020-01-24 04:35:46,2020-01-24 05:34:06,"(28.847369, 78.758552)"
10,604775855254246,+91-9457614681,+91-985-556-8744,OUTGOING,2020-01-19 21:59:38,2020-01-19 22:59:08,"(28.847369, 78.758552)"
11,250777406762377,+91-9457614681,+91-925-558-1539,INCOMING,2020-01-15 07:55:54,2020-01-15 08:31:56,"(28.696474, 78.660419)"
12,604775855254246,+91-9457614681,+91-755-527-3743,INCOMING,2020-01-08 08:26:54,2020-01-08 09:16:25,"(28.881342, 78.581894)"
13,250777406762377,+91-9457614681,+91-755-500-2214,INCOMING,2020-02-16 08:04:10,2020-02-16 08:21:04,"(28.829659, 78.715692)"
14,604775855254246,+91-9457614681,+91-855-538-2053,INCOMING,2020-02-05 07:50:07,2020-02-05 08:10:25,"(28.847369, 78.758552)"
15,456431013543810,+91-9457614681,+91-755-511-1920,OUTGOING,2020-01-05 16:31:47,2020-01-05 17:11:05,"(28.792365, 78.756622)"
16,456431013543810,+91-9457614681,+91-855-504-4054,INCOMING,2020-01-05 13:00:49,2020-01-05 13:33:33,"(28.847369, 78.758552)"
17,456431013543810,+91-9457614681,+91-755-562-7393,OUTGOING,2020-03-11 11:34:51,2020-03-11 11:59:54,"(28.792365, 78.756622)"
18,250777406762377,+91-9457614681,+91-855-557-4302,OUTGOING,2020-02-15 08:25:21,2020-02-15 08:49:39,"(28.881342, 78.581894)"
19,250777406762377,+91-9457614681,+91-855-591-4164,INCOMING,2020-03-16 22:30:46,2020-03-16 23:29:22,"(28.847369, 78.758552)"
20,604775855254246,+91-9457614681,+91-855-562-3450,OUTGOING,2020-02-26 09:45:27,2020-02-26 10:35:48,"(28.892516, 78.725159)"
21,250777406762377,+91-9457614681,+91-855-580-4106,INCOMING,2020-02-09 05:21:09,2020-02-09 05:27:24,"(28.881342, 78.581894)"
22,250777406762377,+91-9457614681,+91-755-596-8126,OUTGOING,2020-03-05 14:34:06,2020-03-05 15:27:47,"(28.892516, 78.725159)"
23,456431013543810,+91-9457614681,+91-955-559-4440,INCOMING,2020-01-25 16:57:24,2020-01-25 17:45:32,"(28.829659, 78.715692)"
24,604775855254246,+91-9457614681,+91-975-556-7249,OUTGOING,2020-01-28 17:13:04,2020-01-28 17:47:14,"(28.847369, 78.758552)"
25,250777406762377,+91-9457614681,+91-755-501-4234,INCOMING,2020-01-27 22:40:48,2020-01-27 23:04:21,"(28.696474, 78.660419)"
26,250777406762377,+91-9457614681,+91-935-557-2700,OUTGOING,2020-03-22 22:50:57,2020-03-22 22:51:02,"(28.829659, 78.715692)"
27,604775855254246,+91-9457614681,+91-755-541-2719,OUTGOING,2020-02-12 04:47:35,2020-02-12 05:26:23,"(28.847369, 78.758552)"
28,604775855254246,+91-9457614681,+91-755-580-3310,INCOMING,2020-02-03 15:38:25,2020-02-03 16:29:22,"(28.847369, 78.758552)"
29,456431013543810,+91-9457614681,+91-915-557-2013,INCOMING,2020-02-06 17:51:47,2020-02-06 18:48:45,"(28.792365, 78.756622)"
30,604775855254246,+91-9457614681,+91-975-552-0715,OUTGOING,2020-01-10 10:03:36,2020-01-10 10:24:28,"(28.696474, 78.660419)"
31,604775855254246,+91-9457614681,+91-755-512-9023,INCOMING,2020-01-30 20:36:03,2020-01-30 21:18:32,"(28.829659, 78.715692)"
32,250777406762377,+91-9457614681,+91-935-557-2700,OUTGOING,2020-02-08 08:14:54,2020-02-08 09:03:13,"(28.792365, 78.756622)"
33,250777406762377,+91-9457614681,+91-945-556-9882,OUTGOING,2020-02-15 18:18:16,2020-02-15 18:32:58,"(28.847369, 78.758552)"
34,250777406762377,+91-9457614681,+91-855-509-2252,OUTGOING,2020-02-29 04:47:26,2020-02-29 05:41:36,"(28.829659, 78.715692)"
35,250777406762377,+91-9457614681,+91-755-541-2719,OUTGOING,2020-01-13 01:47:03,2020-01-13 02:44:49,"(28.696474, 78.660419)"
36,250777406762377,+91-9457614681,+91-925-550-8251,INCOMING,2020-01-10 20:22:20,2020-01-10 20:24:22,"(28.829659, 78.715692)"
37,456431013543810,+91-9457614681,+91-755-592-7698,INCOMING,2020-02-02 14:29:03,2020-02-02 14:34:02,"(28.829659, 78.715692)"
38,456431013543810,+91-9457614681,+91-855-500-0203,OUTGOING,2020-03-12 17:20:15,2020-03-12 17:59:29,"(28.792365, 78.756622)"
39,250777406762377,+91-9457614681,+91-755-541-2295,INCOMING,2020-01-15 16:02:12,2020-01-15 16:38:37,"(28.847369, 78.758552)"
40,456431013543810,+91-9457614681,+91-925-558-9205,INCOMING,2020-03-04 05:42:00,2020-03-04 06:29:40,"(28.847369, 78.758552)"
41,456431013543810,+91-9457614681,+91-755-597-3583,INCOMING,2020-01-07 04:48:08,2020-01-07 05:06:38,"(28.892516, 78.725159)"
42,250777406762377,+91-9457614681,+91-995-559-8991,INCOMING,2020-03-06 14:36:41,2020-03-06 15:01:25,"(28.792365, 78.756622)"
43,456431013543810,+91-9457614681,+91-855-591-4164,OUTGOING,2020-02-27 15:00:31,2020-02-27 15:30:52,"(28.881342, 78.581894)"
44,250777406762377,+91-9457614681,+91-925-557-3998,OUTGOING,2020-03-21 22:18:50,2020-03-21 22:25:55,"(28.792365, 78.756622)"
45,456431013543810,+91-9457614681,+91-905-556-5719,INCOMING,2020-02-24 13:49:19,2020-02-24 14:17:15,"(28.847369, 78.758552)"
46,604775855254246,+91-9457614681,+91-935-555-1034,INCOMING,2020-01-14 15:53:38,2020-01-14 16:16:34,"(28.881342, 78.581894)"
47,250777406762377,+91-9457614681,+91-855-551-1010,OUTGOING,2020-02-04 17:08:41,2020-02-04 17:28:39,"(28.892516, 78.725159)"
48,604775855254246,+91-9457614681,+91-755-511-1920,INCOMING,2020-01-27 15:28:26,2020-01-27 16:01:55,"(28.792365, 78.756622)"
49,250777406762377,+91-9457614681,+91-995-551-3095,INCOMING,2020-01-03 02:18:47,2020-01-03 03:08:48,"(28.792365, 78.756622)"
50,250777406762377,+91-9457614681,+91-755-500-2214,OUTGOING,2020-02-20 22:57:42,2020-02-20 23:06:22,"(28.847369, 78.758552)"
51,604775855254246,+91-9457614681,+91-985-556-8744,OUTGOING,2020-01-20 04:28:24,2020-01-20 04:49:30,"(28.829659, 78.715692)"
52,456431013543810,+91-9457614681,+91-905-557-7383,INCOMING,2020-03-19 18:49:23,2020-03-19 19:43:56,"(28.881342, 78.581894)"
53,456431013543810,+91-9457614681,+91-755-562-7393,OUTGOING,2020-03-08 01:47:02,2020-03-08 01:57:24,"(28.792365, 78.756622)"
54,456431013543810,+91-9457614681,+91-905-556-5719,OUTGOING,2020-03-05 18:44:11,2020-03-05 19:39:04,"(28.829659, 78.715692)"
55,456431013543810,+91-9457614681,+91-965-550-9287,OUTGOING,2020-01-22 21:28:05,2020-01-22 22:27:08,"(28.847369, 78.758552)"
56,250777406762377,+91-9457614681,+91-855-504-4054,OUTGOING,2020-03-21 19:10:17,2020-03-21 19:58:11,"(28.792365, 78.756622)"
57,250777406762377,+91-9457614681,+91-975-552-0715,OUTGOING,2020-02-16 16:20:33,2020-02-16 16:37:58,"(28.696474, 78.660419)"
58,604775855254246,+91-9457614681,+91-755-535-4555,OUTGOING,2020-02-08 19:45:41,2020-02-08 19:51:20,"(28.847369, 78.758552)"
59,250777406762377,+91-9457614681,+91-855-553-7983,INCOMING,2020-03-11 08:51:09,2020-03-11 08:55:50,"(28.881342, 78.581894)"
60,604775855254246,+91-9457614681,+91-755-576-3516,OUTGOING,2020-03-19 05:45:14,2020-03-19 06:03:10,"(28.881342, 78.581894)"
61,604775855254246,+91-9457614681,+91-955-559-1994,OUTGOING,2020-02-28 19:11:53,2020-02-28 19:38:00,"(28.829659, 78.715692)"
62,604775855254246,+91-9457614681,+91-755-565-8423,INCOMING,2020-03-14 03:36:14,2020-03-14 03:38:33,"(28.847369, 78.758552)"
63,250777406762377,+91-9457614681,+91-855-580-2868,OUTGOING,2020-02-07 19:34:42,2020-02-07 20:00:19,"(28.829659, 78.715692)"
64,250777406762377,+91-9457614681,+91-855-520-5448,OUTGOING,2020-02-29 21:49:12,2020-02-29 22:17:39,"(28.696474, 78.660419)"
65,456431013543810,+91-9457614681,+91-855-538-8796,OUTGOING,2020-01-12 16:56:15,2020-01-12 17:04:40,"(28.847369, 78.758552)"
66,456431013543810,+91-9457614681,+91-965-556-3594,INCOMING,2020-01-07 04:52:39,2020-01-07 05:00:24,"(28.847369, 78.758552)"
67,250777406762377,+91-9457614681,+91-755-584-1519,OUTGOING,2020-03-16 14:59:15,2020-03-16 15:45:58,"(28.696474, 78.660419)"
68,250777406762377,+91-9457614681,+91-905-557-7383,OUTGOING,2020-01-26 06:48:04,2020-01-26 07:47:26,"(28.892516, 78.725159)"
69,250777406762377,+91-9457614681,+91-755-555-8348,OUTGOING,2020-02-24 10:58:15,2020-02-24 11:13:34,"(28.792365, 78.756622)"
70,250777406762377,+91-9457614681,+91-855-509-2252,INCOMING,2020-02-26 09:28:41,2020-02-26 09:33:28,"(28.881342, 78.581894)"
71,604775855254246,+91-9457614681,+91-755-501-4234,INCOMING,2020-03-05 03:05:09,2020-03-05 03:22:24,"(28.847369, 78.758552)"
72,456431013543810,+91-9457614681,+91-855-523-1067,INCOMING,2020-01-29 06:01:23,2020-01-29 06:32:45,"(28.847369, 78.758552)"
73,250777406762377,+91-9457614681,+91-855-500-0203,OUTGOING,2020-03-01 23:35:33,2020-03-01 23:43:52,"(28.881342, 78.581894)"
74,456431013543810,+91-9457614681,+91-755-518-1731,OUTGOING,2020-03-13 10:08:00,2020-03-13 10:50:51,"(28.829659, 78.715692)"
75,250777406762377,+91-9457614681,+91-755-518-1731,INCOMING,2020-02-15 17:36:56,2020-02-15 17:49:50,"(28.792365, 78.756622)"
76,456431013543810,+91-9457614681,+91-755-529-9384,OUTGOING,2020-02-19 13:02:15,2020-02-19 14:00:59,"(28.792365, 78.756622)"
77,250777406762377,+91-9457614681,+91-855-538-1344,OUTGOING,2020-01-16 23:09:46,2020-01-16 23:27:30,"(28.881342, 78.581894)"
78,456431013543810,+91-9457614681,+91-755-512-9023,INCOMING,2020-01-03 08:19:24,2020-01-03 09:18:35,"(28.847369, 78.758552)"
79,604775855254246,+91-9457614681,+91-855-513-6692,INCOMING,2020-01-29 17:47:45,2020-01-29 18:14:04,"(28.829659, 78.715692)"
80,604775855254246,+91-9457614681,+91-985-550-6742,OUTGOING,2020-03-24 12:20:23,2020-03-24 13:14:29,"(28.829659, 78.715692)"
81,456431013543810,+91-9457614681,+91-855-504-4054,OUTGOING,2020-01-13 01:15:12,2020-01-13 01:26:20,"(28.792365, 78.756622)"
82,604775855254246,+91-9457614681,+91-855-504-4054,INCOMING,2020-01-07 15:21:07,2020-01-07 15:29:47,"(28.696474, 78.660419)"
83,250777406762377,+91-9457614681,+91-855-551-1010,INCOMING,2020-01-07 00:27:13,2020-01-07 01:08:02,"(28.892516, 78.725159)"
84,250777406762377,+91-9457614681,+91-755-565-8423,OUTGOING,2020-02-21 00:04:50,2020-02-21 00:27:39,"(28.829659, 78.715692)"
85,250777406762377,+91-9457614681,+91-755-555-8348,INCOMING,2020-03-09 23:38:16,2020-03-09 23:56:05,"(28.696474, 78.660419)"
86,604775855254246,+91-9457614681,+91-995-559-8991,INCOMING,2020-02-04 14:34:45,2020-02-04 15:07:31,"(28.892516, 78.725159)"
87,250777406762377,+91-9457614681,+91-855-591-9650,INCOMING,2020-01-19 12:28:07,2020-01-19 12:57:18,"(28.829659, 78.715692)"
88,250777406762377,+91-9457614681,+91-975-556-7249,OUTGOING,2020-03-06 14:52:11,2020-03-06 15:04:49,"(28.892516, 78.725159)"
89,604775855254246,+91-9457614681,+91-855-524-2371,OUTGOING,2020-01-21 19:59:53,2020-01-21 20:26:25,"(28.892516, 78.725159)"
90,456431013543810,+91-9457614681,+91-855-502-2503,OUTGOING,2020-01-11 12:01:18,2020-01-11 12:20:12,"(28.696474, 78.660419)"
91,250777406762377,+91-9457614681,+91-995-559-8991,OUTGOING,2020-02-02 04:49:47,2020-02-02 05:24:16,"(28.792365, 78.756622)"
92,604775855254246,+91-9457614681,+91-755-597-3583,INCOMING,2020-01-09 22:19:24,2020-01-09 22:27:20,"(28.829659, 78.715692)"
93,456431013543810,+91-9457614681,+91-925-556-9078,OUTGOING,2020-01-01 22:57:58,2020-01-01 23:29:51,"(28.696474, 78.660419)"
94,250777406762377,+91-9457614681,+91-855-504-4054,INCOMING,2020-02-09 03:11:28,2020-02-09 03:39:37,"(28.696474, 78.660419)"
95,456431013543810,+91-9457614681,+91-965-556-3594,INCOMING,2020-01-20 16:14:55,2020-01-20 16:51:57,"(28.847369, 78.758552)"
96,250777406762377,+91-9457614681,+91-935-557-2700,INCOMING,2020-03-24 01:58:14,2020-03-24 02:44:33,"(28.847369, 78.758552)"
97,456431013543810,+91-9457614681,+91-935-555-1034,OUTGOING,2020-03-20 05:40:35,2020-03-20 06:19:36,"(28.892516, 78.725159)"
98,250777406762377,+91-9457614681,+91-965-556-3594,OUTGOING,2020-03-22 11:18:13,2020-03-22 11:20:12,"(28.696474, 78.660419)"
99,250777406762377,+91-9457614681,+91-975-556-7249,OUTGOING,2020-02-18 08:08:58,2020-02-18 08:21:55,"(28.696474, 78.660419)"
100,456431013543810,+91-9457614681,+91-965-556-3594,OUTGOING,2020-02-07 04:37:38,2020-02-07 05:07:46,"(28.792365, 78.756622)"
101,456431013543810,+91-9457614681,+91-755-572-0382,OUTGOING,2020-01-25 09:21:54,2020-01-25 09:41:32,"(28.881342, 78.581894)"
102,604775855254246,+91-9457614681,+91-755-564-5265,INCOMING,2020-03-19 07:53:39,2020-03-19 08:37:46,"(28.696474, 78.660419)"
103,250777406762377,+91-9457614681,+91-755-561-0725,OUTGOING,2020-01-21 08:06:53,2020-01-21 08:25:02,"(28.881342, 78.581894)"
104,604775855254246,+91-9457614681,+91-855-579-8994,OUTGOING,2020-03-18 20:46:34,2020-03-18 20:54:39,"(28.892516, 78.725159)"
